"","sum.water","sum.lulc.2015.dst040","sum.lulc.2015.dst130","sum.lulc.2015.dst140","sum.lulc.2015.dst150","sum.lulc.2015.dst160","sum.lulc.2015.dst190","sum.lulc.2015.dst200","sum.lulc.DST.dst_water_100m_2000_2012.tif","sum.topo","sum.slope","sum.ntl","sum.pop19","mean.water","mean.lulc.2015.dst040","mean.lulc.2015.dst130","mean.lulc.2015.dst140","mean.lulc.2015.dst150","mean.lulc.2015.dst160","mean.lulc.2015.dst190","mean.lulc.2015.dst200","mean.lulc.DST.dst_water_100m_2000_2012.tif","mean.topo","mean.slope","mean.ntl","mean.pop19"
"1",-37943.9296875,123742.2265625,1173158,1856156.5,125708.7890625,3903620.75,81538.625,167961.875,679726.9375,40397040,415986.21875,263934.78125,252066.359375,-0.849544942378998,2.77052450180054,26.2664012908936,41.5583839416504,2.8145546913147,87.4000473022461,1.82560765743256,3.76057958602905,15.2187347412109,904.468811035156,9.31371593475342,5.90936326980591,5.64363527297974
"2",-5425.6640625,13740.01171875,168408.40625,532834.8125,18928.279296875,1024249.75,69028.5703125,49927.67578125,92431.765625,7245589.5,153373.359375,18052.82421875,19443.322265625,-0.456751525402069,1.15668261051178,14.1772136688232,44.8559150695801,1.59344935417175,86.2249526977539,5.81106853485107,4.20308780670166,7.78123188018799,609.959289550781,12.9115104675293,1.51975035667419,1.63680744171143
"3",7436.59326171875,214245.15625,87985.5078125,568381.4375,37367.82421875,2737731.5,10271.8359375,42454.78515625,635918.375,26847208,212648.546875,849384.5,1461360.625,0.234610483050346,6.75903034210205,2.77577662467957,17.9313621520996,1.1788843870163,86.3702621459961,0.324057042598724,1.33936834335327,20.0620250701904,846.978759765625,6.70866012573242,26.7964782714844,46.1031684875488
"4",12587083,51828000,43823848,26317780,7897307,65079440,18759998,-6335014,21330996,519829984,1086544.625,377427,65432.21875,17.5939846038818,72.4441909790039,61.2561378479004,36.786491394043,11.0387048721313,90.966796875,26.2223682403564,-8.85496139526367,29.8160591125488,726.608459472656,1.51875138282776,0.527560293674469,0.0914599075913429
"5",870812.9375,3269722.25,2610496,2274237.75,1029944.5,7847979.5,1418280.625,-859366.3125,2703598.25,58776232,116775.59375,141234.03125,31592.388671875,10.9163789749146,40.9887428283691,32.724781036377,28.50950050354,12.9112281799316,98.3810806274414,17.7793502807617,-10.7728853225708,33.8918991088867,736.809936523438,1.46388113498688,1.7704883813858,0.396037399768829
"6",-343.240356445312,236399.125,107710.6796875,198859.484375,10292.490234375,1572232.75,20968.732421875,11805.4765625,515987.65625,15036221,51070.3125,246456.53125,248013.4375,-0.0190648883581161,13.1305160522461,5.98266553878784,11.0454206466675,0.57168447971344,87.3278503417969,1.16468405723572,0.655721545219421,28.6599388122559,835.169555664062,2.83664155006409,13.6891431808472,13.7756204605103
"7",817347.125,3792970.75,2642422,2005262.125,783434.5,9771344,1312439.375,-709311,2140438,73432440,249114.75,138605.546875,286648.59375,8.25611305236816,38.3132133483887,26.6913948059082,20.2553730010986,7.91355800628662,98.701416015625,13.2570943832397,-7.16482830047607,21.6208000183105,741.749145507812,2.51633548736572,1.40006983280182,2.89546895027161
"8",-14555.724609375,168355.609375,167306.25,491834.21875,27173.845703125,1675294.75,39601.3046875,40041.54296875,359582,17224696,111937.3828125,161160.734375,118934.25,-0.650967657566071,7.52927541732788,7.48234510421753,21.9960308074951,1.21528089046478,74.9232864379883,1.77106738090515,1.79075586795807,16.0813884735107,770.330627441406,5.00611400604248,7.20750284194946,5.31903123855591
"9",11277.267578125,208890.34375,71989.28125,250772.390625,15903.572265625,1706398.125,8343.5595703125,11638.1484375,382871.03125,14570737,97991.0234375,533852.125,1310684,0.649502456188202,12.0308208465576,4.14614725112915,14.4429731369019,0.915949583053589,98.2782135009766,0.480538576841354,0.670287013053894,22.0510559082031,839.186340332031,5.64369058609009,30.746654510498,75.4874725341797
"10",4560108,55729688,48109472,27383894,2902373.5,20902722,5610705.5,-1516509,6131421.5,239046928,2770603.25,485318.40625,169119.265625,16.8730945587158,206.208343505859,178.012390136719,101.324584960938,10.7392244338989,77.34326171875,20.7604656219482,-5.61131477355957,22.6871948242188,884.510131835938,10.251654624939,1.79575216770172,0.625852048397064
"11",3338247.75,67786032,53884948,27165272,4313231.5,38937128,15325520,-2172896.5,16978592,365255040,2916676.5,130919.078125,34092.17578125,9.38079833984375,190.485290527344,151.421905517578,76.3370361328125,12.1205968856812,109.417091369629,43.0661926269531,-6.10604906082153,47.711483001709,1026.40197753906,8.19614219665527,0.367895245552063,0.0958023071289062
"12",2010957.75,37952380,29155694,10359539,3052956.25,23590226,6529457,-1740735.25,10639791,94219560,1917336.25,62133.18359375,11292.7236328125,6.58885383605957,124.350044250488,95.5279159545898,33.9427757263184,10.0029363632202,77.2928009033203,21.3936061859131,-5.7034764289856,34.8610153198242,308.708099365234,6.28210544586182,0.203577861189842,0.0370013043284416
"13",-6759.19580078125,28024.044921875,79159.53125,424390.34375,11697.181640625,1107795.75,32800.53125,41628.46875,83471.390625,6953769,109158.6953125,39472.03515625,39458.09765625,-0.572014272212982,2.37160658836365,6.69907808303833,35.9151191711426,0.989903926849365,93.7500534057617,2.77582883834839,3.52291584014893,7.06398010253906,588.480529785156,9.23783397674561,3.3404221534729,3.33924245834351
"14",-3923.00439453125,96591.6015625,297317.90625,616147.25,13656.306640625,2392409.75,38123.62109375,19904.7265625,266553.5,18265098,198683.203125,230264.171875,312786.5625,-0.166776567697525,4.10634660720825,12.6397151947021,26.1939353942871,0.580563187599182,101.707221984863,1.62072885036469,0.846198916435242,11.3318452835083,776.494262695312,8.44651126861572,9.78909587860107,13.2973260879517
"15",-6469.7158203125,166825.953125,289513.0625,1148428.25,29203.265625,1959406.125,55319.046875,23796.279296875,163844.171875,-3682951,152028.25,70695.625,85991.03125,-0.263746440410614,6.80087852478027,11.8023796081543,46.8171844482422,1.19050943851471,79.8777618408203,2.25515341758728,0.970086514949799,6.67932271957397,-150.140319824219,6.19763088226318,2.88199973106384,3.50553703308105
"16",-7809.31640625,227833.203125,379312.75,1206949.875,46836.13671875,3865327.5,72849.265625,72796.3203125,565178.25,31191124,411755,621717.6875,577107.5625,-0.182976573705673,5.3382568359375,8.88750553131104,28.2794990539551,1.09739637374878,90.5667419433594,1.70689833164215,1.7056577205658,13.2424364089966,730.825134277344,9.64764595031738,14.5671863555908,13.5219469070435
"17",27793.8671875,1325946,1115908,2012413,76660.90625,7106930.5,372824.15625,45004.2109375,480664.9375,-5102045,578629.6875,218179.140625,146300.21875,0.302134066820145,14.4137353897095,12.1305112838745,21.8759956359863,0.833344697952271,77.256103515625,4.05279588699341,0.489219605922699,5.22508239746094,-55.4619331359863,6.29001140594482,2.37172293663025,1.62283682823181
"18",1259.58972167969,229459.734375,953805.5625,726531.1875,3385.71264648438,1975561.375,76796.1171875,27225.408203125,383554.4375,17225802,76974.171875,91973.1328125,87606.171875,0.051478672772646,9.37788105010986,38.9814567565918,29.692892074585,0.138372033834457,80.7400054931641,3.13861107826233,1.11268603801727,15.6756391525269,704.008178710938,3.14588809013367,3.75888657569885,3.58041143417358
"19",-6919.28759765625,34762.8515625,282016.46875,293672.40625,10923.59375,836163.375,20428.83984375,15307.3916015625,210163.359375,7984727,72512.796875,26121.947265625,47721.8203125,-0.730409145355225,3.66961240768433,29.7700309753418,31.0004463195801,1.15310895442963,88.2665100097656,2.1564953327179,1.61586844921112,22.1851215362549,842.878295898438,7.65454626083374,2.75746726989746,5.03757810592651
"20",-266.3984375,10147.373046875,28007.501953125,28535.57421875,1189.17980957031,106318.65625,553.916137695312,3826.48046875,24570.1171875,841615.375,6067.61962890625,12482.5029296875,19763.52734375,-0.217534795403481,8.28610992431641,22.8702774047852,23.3014888763428,0.971056699752808,86.8173522949219,0.452315092086792,3.12461519241333,20.0633888244629,687.243591308594,4.95467758178711,10.1929225921631,16.1384391784668
"21",-1024.76318359375,24054.162109375,107358.2265625,129135.59375,4613.19189453125,569131.3125,3045.00903320312,8286.25,96840.6171875,3215280.25,39892.83984375,53937.46875,136415.265625,-0.145801350474358,3.42238020896912,15.2747230529785,18.3731651306152,0.6563560962677,80.9749145507812,0.433238059282303,1.17895174026489,13.7782974243164,457.463928222656,5.6758770942688,7.67411994934082,19.4089031219482
"22",-1566.32006835938,22692.26953125,85746.4296875,114057.3125,4421.599609375,419648.90625,3748.97705078125,6148.2333984375,70708.796875,2732466.75,39570.859375,22649.203125,58043.37890625,-0.298979997634888,4.33151245117188,16.3673248291016,21.7713203430176,0.843997299671173,80.1028060913086,0.71560674905777,1.17357802391052,13.4969329833984,521.57470703125,7.55330657958984,4.32329177856445,11.0793514251709
"23",-16890.486328125,96773.5078125,498484.4375,654087.8125,49313.14453125,1775986.375,31350.861328125,51912.0234375,345750.15625,16308497,225934.703125,61007.85546875,152345.765625,-0.768210589885712,4.40143823623657,22.6719951629639,29.7491264343262,2.24285316467285,80.7751541137695,1.42589521408081,2.36105513572693,15.7253580093384,741.740661621094,10.2759294509888,2.77475023269653,6.92896795272827
"24",-4358.45849609375,290058.15625,837374.125,475904.4375,10586.9453125,1588856.25,55459.94140625,20480.48046875,130733.3984375,14302350,61664.7421875,64955.93359375,52468.81640625,-0.190226539969444,12.6596956253052,36.5475044250488,20.7710247039795,0.462071150541306,69.3462219238281,2.42056965827942,0.893878161907196,5.70590782165527,624.231384277344,2.69138050079346,2.83502578735352,2.29027247428894
"25",-25639.017578125,459449.0625,2350491.25,2661786.5,90984.890625,10160065,209714.484375,127533.9140625,1094975.75,31364548,1168537.75,399402.59375,786672.25,-0.187054097652435,3.35199403762817,17.1484355926514,19.4195461273193,0.663796782493591,74.1245956420898,1.53000998497009,0.930446803569794,7.98859405517578,228.825744628906,8.52527904510498,2.91391396522522,5.74333238601685
"26",-3202.76586914062,202342.546875,936934.6875,589399.3125,29464.89453125,2712234.25,27903.3203125,54752.1796875,491415.46875,18409890,79124.578125,439800.4375,642483.125,-0.094057984650135,5.94234275817871,27.5156517028809,17.3093242645264,0.865317285060883,79.6521835327148,0.819457352161407,1.60794758796692,14.4317598342896,540.656799316406,2.32370972633362,12.915943145752,18.8682746887207
"27",-4010.517578125,357853.78125,1365638.25,1887085.5,13056.9951171875,5018729.5,196177.40625,74144.96875,668381.25,33066698,478420.5,231734.40625,187325.0625,-0.0748800337314606,6.68145751953125,25.4977169036865,35.2336120605469,0.243786051869392,93.7042770385742,3.66281175613403,1.38435447216034,12.4792900085449,617.385498046875,8.93254852294922,4.32669353485107,3.50204205513
"28",84140.5546875,3532911.75,1034969.25,270046.625,144564.78125,394526.5625,201060.453125,-11959.69140625,216500.34375,-1770159.75,499589.40625,79621.4375,53699.94921875,1.49259066581726,62.6712188720703,18.359582901001,4.7904257774353,2.56447148323059,6.99860668182373,3.56666254997253,-0.212155997753143,3.84055471420288,-31.4013137817383,8.86234378814697,1.41242492198944,1.13653302192688
"29",-4318.93701171875,956595.8125,83738.7578125,328031.53125,27811.962890625,482446,76751.765625,7611.21728515625,311659.375,14192395,85258.0703125,25431.6015625,26322.208984375,-0.258108556270599,57.1681327819824,5.0044002532959,19.6038379669189,1.66210007667542,28.8319644927979,4.58684349060059,0.454861998558044,18.6254043579102,848.166687011719,5.0951976776123,1.51984477043152,1.57306933403015
"30",209125.015625,5473048,1728327,746348.3125,350443.90625,1768904,899377.0625,5249.47119140625,532162.1875,4349962,896503.3125,57906.56640625,49577.80078125,1.94058120250702,50.787296295166,16.0380573272705,6.92575883865356,3.25195360183716,16.4145927429199,8.34579372406006,0.048712607473135,4.93821334838867,40.3655891418457,8.31912612915039,0.5373455286026,0.582981050014496
"31",7198.29296875,488581.625,70776.2109375,245634.5625,19838.677734375,387903.65625,98824.3984375,-3747.7900390625,251350.921875,4659568.5,133261.859375,5297.77783203125,4848.0048828125,0.729883134365082,49.5405654907227,7.17647409439087,24.9065341949463,2.01157641410828,39.3321495056152,10.0204677581787,-0.380013555288315,25.4861545562744,472.464874267578,13.5123128890991,0.537177205085754,0.491571694612503
"32",-782.53955078125,458555,25234.607421875,112889.78125,5857.8623046875,113215.6328125,14642.1005859375,2530.7978515625,90392.953125,7246564,56741.14453125,20614.107421875,21670.90234375,-0.118092194199562,69.2000350952148,3.8081271648407,17.0360736846924,0.884003639221191,17.0852489471436,2.20962357521057,0.381919950246811,13.6411027908325,1093.57116699219,8.56274509429932,3.11085271835327,3.27033233642578
"33",97943.5390625,4567207.5,694623.8125,901064,114692.7734375,1498473.875,358582.53125,-77741.46875,1422929.5,55745588,286549.875,70787.9375,108429.1875,1.82251834869385,84.9858932495117,12.9254531860352,16.7668609619141,2.13418555259705,27.8833713531494,6.67244863510132,-1.44660139083862,26.477653503418,1037.30529785156,5.33207607269287,1.31721103191376,2.01763367652893
"34",1608761.25,21259044,6386985,4449763,3220466.75,12137085,5567404.5,-1444612.25,11187386,226363680,887586.9375,261338.265625,120052.6171875,6.03703022003174,79.7765960693359,23.9677715301514,16.6981601715088,12.0851097106934,45.5455703735352,20.8922176361084,-5.42104578018188,41.9817352294922,849.451354980469,3.33075475692749,0.980696797370911,0.450508922338486
"35",410722.625,9631212,4673520,1709192.125,812381.125,5044700.5,1412149.125,-399339.96875,4193230.5,83293360,117256.78125,47111.04296875,14154.7998046875,5.33213806152344,125.035598754883,60.6731910705566,22.1893005371094,10.5466022491455,65.4919815063477,18.3329906463623,-5.18436431884766,54.437915802002,1081.34216308594,1.52226662635803,0.611611247062683,0.183762326836586
"36",682338.5,13245469,9777304,2885272.75,702770.5625,9126617,2079889.625,-530412.5625,4571502.5,115650208,477569.5,31126.53125,14482.48046875,8.14286804199219,158.068328857422,116.680061340332,34.4321708679199,8.38669967651367,108.914909362793,24.8209171295166,-6.32981967926025,54.5552406311035,1380.142578125,5.69920253753662,0.371456742286682,0.172830536961555
"37",72886216,745037120,423049952,190500192,75986136,473074432,190139968,-50082004,244348848,3545391872,4792657.5,788629.6875,70666.3203125,17.6305618286133,180.218200683594,102.332214355469,46.0803909301758,18.3804054260254,114.432716369629,45.9932556152344,-12.1144142150879,59.1059265136719,857.600402832031,1.15930342674255,0.190762877464294,0.0170936901122332
"38",71650.21875,6689668,3721799.5,940741.4375,84897.1484375,3434550.75,474249.65625,-48497.83984375,2275495,70155536,490748.75,59883.37890625,23333.896484375,1.23630321025848,115.428230285645,64.2185440063477,16.232213973999,1.46487510204315,59.2621536254883,8.18303680419922,-0.83681583404541,39.2629890441895,1210.51293945312,8.46772384643555,1.03326988220215,0.402619451284409
"39",164026.078125,8326604.5,5697589,981221.875,152459.390625,5186564,561887.5625,-105417.4296875,3565271.25,83108408,519249.09375,143095.625,56465.16015625,2.66213798522949,135.140518188477,92.4716873168945,15.925199508667,2.47441101074219,84.1777648925781,9.11941719055176,-1.71092140674591,57.8642349243164,1348.84680175781,8.42739582061768,2.32243728637695,0.916427731513977
"40",-2088.39770507812,1332373.25,541377.1875,697816.625,18455.8203125,1623393.125,248667.9375,17255.5390625,824178.6875,21735398,250791.734375,31830.48828125,32666.08203125,-0.0596607215702534,38.0628395080566,15.4659013748169,19.9350166320801,0.527240335941315,46.3766098022461,7.10387134552002,0.492951095104218,23.5448913574219,620.930358886719,7.16454315185547,0.909323871135712,0.933194875717163
"41",133654.171875,4024953.5,2177152.75,1213484.625,267805.9375,6349423.5,1097604.75,183722.953125,1208736,41341488,919560,202236.25,218446.484375,1.04255044460297,31.3960781097412,16.9825706481934,9.46561431884766,2.08898210525513,49.5277786254883,8.56171035766602,1.43310487270355,9.42857360839844,322.478424072266,7.17289733886719,1.57751512527466,2.14693307876587
"42",103235184,416559680,409791392,328087840,79553952,378468064,361469504,-61344688,152966672,2562727168,2943848.25,353383.21875,43766.0703125,30.7162437438965,123.941741943359,121.927932739258,97.6181335449219,23.6702117919922,112.608093261719,107.550399780273,-18.2522888183594,45.5131797790527,762.505065917969,0.875902533531189,0.105144433677197,0.01302245631814
"43",15920.4951171875,1141840.375,1630606.25,1719725,22128.560546875,4351006,235332.3125,34396.00390625,534739.1875,35822364,234413.875,152628,99007.0859375,0.302899450063705,21.7243766784668,31.0235176086426,32.7190704345703,0.421012610197067,82.7811813354492,4.47737503051758,0.654410004615784,10.1738176345825,681.547546386719,4.45990133285522,2.90386319160461,1.88558602333069
"44",78364.828125,2506473,4247037.5,2721017,303264.375,6289392,543045.8125,-58984.33984375,1758519.375,63483060,121930.890625,327523.96875,244980.9375,0.836905837059021,26.7681541442871,45.3567047119141,29.0594005584717,3.23874545097351,67.1682586669922,5.79951763153076,-0.629929780960083,18.7803020477295,677.974365234375,1.30217444896698,3.49782848358154,2.6163010597229
"45",1298074.375,3043942.25,7952996.5,2735344.75,1220233.125,8383567.5,2493216.75,-920031.125,4239007.5,142009056,241336.578125,80218.453125,66269.640625,8.62609004974365,20.2279014587402,52.850025177002,18.1771793365479,8.108811378479,55.711296081543,16.5681667327881,-6.1138801574707,28.1694641113281,943.6923828125,1.60375332832336,0.533075451850891,0.440381467342377
"46",1780.89636230469,746141.75,1885886,1042253.5,35555.73046875,2619147.75,138925.296875,18522.7578125,587724.125,28094114,67533.015625,132325.296875,86417.4140625,0.0423205308616161,17.7310237884521,44.8154640197754,24.767707824707,0.844932615756989,62.2404098510742,3.30136680603027,0.440167635679245,13.9664478302002,667.617614746094,1.60482835769653,3.14452695846558,2.05358982086182
"47",19054.517578125,2913235.5,1243575.25,676181.125,13713.439453125,1244146.125,145003.328125,-4137.4365234375,947916.6875,36646760,280222.71875,47045.2421875,34046.28125,0.673439681529999,102.961853027344,43.9514122009277,23.8981246948242,0.484671145677567,43.9715881347656,5.12482118606567,-0.146228522062302,33.5020141601562,1295.19848632812,9.90385150909424,1.66270983219147,1.20329034328461
"48",626137,12560234,4468238,1941499.5,713468,5751000,2525873.5,-561007.8125,5566979,108430312,440097,73525.2265625,14591.09375,5.50265407562256,110.382591247559,39.2680320739746,17.0624008178711,6.2701416015625,50.5412788391113,22.1980304718018,-4.93028211593628,48.9240531921387,952.913696289062,3.86768651008606,0.646158754825592,0.128230318427086
"49",378167.25,12988970,4765005.5,2389165,557314.8125,4037108.5,1297903.125,-298839.25,2942607,80716240,1672128.875,128342.8671875,92614.1484375,2.48143410682678,85.2302017211914,31.2667121887207,15.6770725250244,3.65695309638977,26.4904441833496,8.51649856567383,-1.96090459823608,19.3086128234863,529.638732910156,10.9720697402954,0.842152118682861,0.60770970582962
